bank_account,location_type,age_of_respondent,education_level,job_type
No,Rural,59,No formal education,Farming and Fishing
No,Rural,20,Secondary education,Informally employed
No,Rural,33,Primary education,Informally employed
No,Rural,23,Primary education,Informally employed
No,Urban,41,Primary education,Informally employed
Yes,Rural,23,Secondary education,Farming and Fishing
No,Rural,41,No formal education,Farming and Fishing
No,Rural,25,Primary education,Informally employed
No,Rural,77,No formal education,Farming and Fishing
No,Rural,28,Primary education,Informally employed
No,Rural,33,Primary education,Informally employed
No,Rural,24,Secondary education,Farming and Fishing
No,Rural,52,Vocational/Specialised training,Other Income
No,Rural,38,Primary education,Informally employed
Yes,Rural,30,Secondary education,Self employed
No,Urban,24,Primary education,Other Income
No,Rural,20,No formal education,Government Dependent
Yes,Urban,53,Primary education,Other Income
No,Rural,17,Secondary education,Farming and Fishing
No,Rural,29,No formal education,Informally employed
No,Rural,31,Primary education,Farming and Fishing
No,Rural,47,Secondary education,Self employed
Yes,Rural,23,Tertiary education,Self employed
Yes,Rural,25,Primary education,Informally employed
No,Rural,57,Primary education,Farming and Fishing
Yes,Rural,32,Secondary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Urban,58,Secondary education,Informally employed
Yes,Rural,42,Primary education,Farming and Fishing
No,Rural,30,Secondary education,Remittance Dependent
No,Rural,16,Primary education,Informally employed
No,Rural,23,Primary education,Remittance Dependent
No,Rural,44,No formal education,Informally employed
No,Rural,31,No formal education,Self employed
No,Rural,18,Secondary education,Farming and Fishing
No,Rural,72,Primary education,Informally employed
No,Rural,58,No formal education,Farming and Fishing
No,Urban,18,Primary education,Informally employed
No,Urban,18,Secondary education,Farming and Fishing
Yes,Rural,46,Primary education,Informally employed
No,Rural,39,Primary education,Farming and Fishing
Yes,Rural,80,Primary education,Farming and Fishing
No,Rural,23,Primary education,Farming and Fishing
Yes,Urban,32,Secondary education,Self employed
Yes,Urban,38,Other/Dont know/RTA,Informally employed
No,Rural,47,Primary education,Farming and Fishing
Yes,Rural,26,Primary education,Informally employed
No,Urban,57,No formal education,Remittance Dependent
No,Rural,64,No formal education,Farming and Fishing
No,Rural,26,Primary education,Farming and Fishing
No,Rural,29,Primary education,Informally employed
No,Rural,17,Primary education,Informally employed
No,Rural,47,No formal education,Informally employed
No,Urban,18,Secondary education,Farming and Fishing
No,Rural,46,No formal education,Informally employed
No,Rural,37,Primary education,Farming and Fishing
No,Rural,20,Primary education,Informally employed
No,Rural,56,No formal education,Farming and Fishing
Yes,Rural,29,Primary education,Informally employed
No,Rural,34,Secondary education,Informally employed
No,Rural,32,Primary education,Informally employed
No,Rural,68,Primary education,Farming and Fishing
No,Rural,79,No formal education,Farming and Fishing
No,Rural,16,Secondary education,Farming and Fishing
No,Rural,35,Primary education,Self employed
No,Urban,22,Primary education,Informally employed
No,Rural,18,Primary education,Farming and Fishing
No,Rural,32,Primary education,Informally employed
No,Rural,25,Primary education,Informally employed
No,Rural,39,Primary education,Other Income
No,Rural,80,Primary education,Remittance Dependent
No,Rural,17,Primary education,Self employed
No,Rural,57,No formal education,Informally employed
No,Rural,50,Secondary education,Farming and Fishing
No,Rural,30,Primary education,Farming and Fishing
No,Rural,44,Secondary education,Informally employed
No,Rural,41,Secondary education,Informally employed
No,Urban,37,No formal education,Informally employed
No,Rural,24,Secondary education,Other Income
No,Rural,20,Secondary education,Other Income
No,Rural,28,Primary education,Informally employed
No,Rural,60,No formal education,Self employed
No,Rural,37,Secondary education,Farming and Fishing
No,Urban,26,Secondary education,Remittance Dependent
No,Rural,24,Primary education,Farming and Fishing
No,Rural,40,Primary education,Self employed
No,Rural,30,Primary education,Farming and Fishing
No,Rural,37,Primary education,Remittance Dependent
No,Rural,39,Primary education,Informally employed
No,Rural,43,No formal education,Informally employed
No,Urban,17,Secondary education,Remittance Dependent
Yes,Rural,28,Primary education,Informally employed
No,Rural,28,No formal education,Farming and Fishing
No,Rural,34,Primary education,Informally employed
No,Rural,18,Primary education,Remittance Dependent
No,Rural,33,Primary education,Farming and Fishing
No,Rural,27,Secondary education,Informally employed
No,Rural,46,Primary education,Farming and Fishing
No,Rural,55,Primary education,Self employed
No,Rural,65,No formal education,Farming and Fishing
No,Rural,53,Primary education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
Yes,Urban,46,Tertiary education,Formally employed Government
No,Rural,51,Primary education,Informally employed
No,Urban,67,Primary education,Other Income
Yes,Urban,46,Secondary education,Remittance Dependent
Yes,Urban,63,Primary education,Other Income
No,Rural,45,Secondary education,Farming and Fishing
No,Rural,71,No formal education,Farming and Fishing
No,Rural,33,No formal education,Self employed
No,Rural,40,Primary education,Informally employed
Yes,Rural,32,Primary education,Informally employed
No,Rural,20,Primary education,Informally employed
Yes,Urban,34,Primary education,Other Income
No,Rural,36,No formal education,Farming and Fishing
No,Rural,60,Primary education,Informally employed
No,Urban,18,Primary education,Farming and Fishing
No,Urban,25,Secondary education,Formally employed Private
No,Rural,32,No formal education,Informally employed
No,Rural,32,No formal education,Farming and Fishing
No,Rural,18,Primary education,Farming and Fishing
Yes,Rural,27,Primary education,Informally employed
No,Rural,44,No formal education,Farming and Fishing
No,Rural,24,Primary education,Farming and Fishing
No,Urban,16,Secondary education,Remittance Dependent
No,Rural,41,Primary education,Informally employed
Yes,Urban,35,Tertiary education,Formally employed Private
No,Rural,36,Primary education,Farming and Fishing
No,Rural,30,Primary education,Farming and Fishing
No,Rural,35,No formal education,Self employed
Yes,Urban,18,Secondary education,Other Income
No,Rural,65,No formal education,Informally employed
No,Rural,19,Primary education,Informally employed
No,Rural,34,Primary education,Dont Know/Refuse to answer
No,Rural,56,Primary education,Farming and Fishing
Yes,Rural,29,Primary education,Farming and Fishing
Yes,Rural,56,Secondary education,Formally employed Government
No,Rural,32,Primary education,Informally employed
No,Rural,33,No formal education,Other Income
No,Urban,33,Primary education,Formally employed Private
No,Rural,29,Primary education,Informally employed
No,Rural,22,Primary education,Informally employed
No,Rural,39,Secondary education,Farming and Fishing
No,Rural,31,Primary education,Farming and Fishing
No,Urban,19,Secondary education,Remittance Dependent
No,Rural,72,No formal education,Remittance Dependent
No,Rural,70,Primary education,Farming and Fishing
Yes,Rural,22,Primary education,Farming and Fishing
No,Rural,80,No formal education,Informally employed
No,Rural,44,Primary education,Informally employed
No,Rural,47,Primary education,Informally employed
No,Rural,34,Primary education,Farming and Fishing
No,Rural,16,Secondary education,Formally employed Government
No,Rural,53,Primary education,Farming and Fishing
No,Rural,68,No formal education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
No,Rural,24,Primary education,Farming and Fishing
No,Urban,60,Primary education,Remittance Dependent
No,Rural,43,Primary education,Informally employed
No,Rural,25,Secondary education,Farming and Fishing
Yes,Urban,43,Primary education,Self employed
No,Rural,40,Primary education,Remittance Dependent
No,Rural,71,No formal education,Other Income
Yes,Rural,45,Primary education,Farming and Fishing
No,Rural,65,No formal education,Farming and Fishing
No,Rural,45,No formal education,Farming and Fishing
No,Rural,19,Secondary education,Remittance Dependent
No,Urban,19,Primary education,Informally employed
No,Rural,24,Secondary education,Farming and Fishing
Yes,Rural,35,Primary education,Farming and Fishing
Yes,Urban,32,Tertiary education,Formally employed Government
No,Rural,25,Primary education,Farming and Fishing
No,Rural,39,Primary education,Remittance Dependent
No,Rural,34,Primary education,Informally employed
No,Rural,77,Primary education,Informally employed
No,Rural,41,Secondary education,Farming and Fishing
No,Rural,65,Primary education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
No,Rural,68,No formal education,Farming and Fishing
No,Rural,52,Primary education,Informally employed
No,Rural,53,Primary education,Farming and Fishing
No,Rural,64,Primary education,Farming and Fishing
No,Rural,30,No formal education,Other Income
No,Rural,27,Primary education,Farming and Fishing
Yes,Urban,40,Secondary education,Remittance Dependent
No,Rural,26,Secondary education,Farming and Fishing
No,Rural,47,No formal education,Farming and Fishing
No,Rural,21,Secondary education,Farming and Fishing
No,Rural,40,Primary education,Farming and Fishing
No,Rural,41,Primary education,Other Income
Yes,Rural,45,Primary education,Informally employed
No,Rural,27,Primary education,Other Income
No,Rural,38,Primary education,Informally employed
No,Rural,39,Primary education,Informally employed
No,Rural,39,Primary education,Dont Know/Refuse to answer
No,Rural,75,No formal education,Farming and Fishing
No,Rural,26,Primary education,Farming and Fishing
Yes,Urban,44,Tertiary education,Formally employed Government
No,Rural,32,Primary education,Farming and Fishing
No,Rural,30,Primary education,Informally employed
No,Rural,25,Primary education,Farming and Fishing
No,Rural,59,Primary education,Farming and Fishing
No,Urban,35,Primary education,Other Income
No,Rural,32,No formal education,Informally employed
No,Rural,64,Primary education,Government Dependent
No,Rural,22,Primary education,Informally employed
No,Rural,18,Primary education,Informally employed
No,Urban,17,Secondary education,Remittance Dependent
No,Rural,25,Primary education,Other Income
Yes,Urban,29,Tertiary education,Formally employed Private
No,Urban,35,No formal education,Informally employed
No,Rural,46,No formal education,Informally employed
No,Urban,47,No formal education,Farming and Fishing
No,Urban,30,Primary education,Informally employed
No,Urban,39,Secondary education,Self employed
No,Rural,67,No formal education,Farming and Fishing
No,Rural,73,No formal education,Farming and Fishing
No,Rural,58,No formal education,Farming and Fishing
No,Rural,36,No formal education,Informally employed
No,Rural,83,Primary education,Government Dependent
Yes,Urban,61,Primary education,Other Income
No,Rural,16,Primary education,Remittance Dependent
No,Rural,36,Primary education,Farming and Fishing
No,Rural,65,No formal education,Farming and Fishing
No,Rural,45,Primary education,Farming and Fishing
No,Rural,28,Primary education,Farming and Fishing
No,Rural,22,Primary education,Farming and Fishing
Yes,Urban,52,Tertiary education,Formally employed Government
No,Rural,16,Secondary education,Remittance Dependent
No,Rural,44,Primary education,Informally employed
Yes,Urban,48,Tertiary education,Formally employed Government
No,Rural,34,No formal education,Informally employed
No,Rural,25,No formal education,Self employed
No,Rural,26,Primary education,Informally employed
No,Rural,28,Primary education,Informally employed
No,Rural,21,Secondary education,Informally employed
No,Rural,49,No formal education,Informally employed
No,Rural,38,Primary education,Farming and Fishing
No,Rural,34,Primary education,Self employed
No,Urban,18,Primary education,Formally employed Private
No,Rural,40,Primary education,Informally employed
No,Rural,50,No formal education,Farming and Fishing
No,Rural,19,Primary education,Informally employed
No,Urban,66,Primary education,Informally employed
No,Rural,21,No formal education,Informally employed
No,Rural,29,Primary education,Informally employed
No,Rural,17,Primary education,Dont Know/Refuse to answer
No,Urban,35,Secondary education,Farming and Fishing
No,Rural,25,Primary education,Self employed
No,Rural,30,Primary education,Farming and Fishing
No,Rural,45,No formal education,Farming and Fishing
No,Rural,17,Primary education,Farming and Fishing
No,Rural,66,No formal education,Farming and Fishing
No,Rural,43,Secondary education,Farming and Fishing
No,Rural,77,No formal education,Other Income
No,Rural,65,No formal education,Informally employed
Yes,Urban,35,Tertiary education,Formally employed Private
No,Rural,37,Primary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Urban,40,Primary education,Informally employed
No,Rural,35,Primary education,Farming and Fishing
Yes,Rural,36,Primary education,Farming and Fishing
No,Rural,42,No formal education,Farming and Fishing
No,Rural,39,Secondary education,Farming and Fishing
No,Rural,32,No formal education,Farming and Fishing
Yes,Rural,32,Secondary education,Self employed
No,Rural,25,Secondary education,Informally employed
No,Rural,33,Primary education,Informally employed
No,Rural,70,No formal education,Farming and Fishing
No,Rural,56,No formal education,Informally employed
No,Rural,35,Primary education,Farming and Fishing
No,Rural,40,Primary education,Farming and Fishing
No,Rural,39,Primary education,Informally employed
No,Rural,49,Primary education,Farming and Fishing
No,Rural,33,No formal education,Farming and Fishing
No,Rural,30,Primary education,Farming and Fishing
No,Urban,32,Primary education,Self employed
No,Rural,77,No formal education,Farming and Fishing
No,Rural,35,No formal education,Farming and Fishing
No,Urban,41,Primary education,Self employed
No,Rural,27,Primary education,Farming and Fishing
No,Rural,37,No formal education,Informally employed
No,Rural,45,Secondary education,Farming and Fishing
No,Rural,54,Primary education,Farming and Fishing
Yes,Urban,25,Primary education,Formally employed Private
No,Rural,35,Primary education,Farming and Fishing
Yes,Rural,23,Primary education,Self employed
No,Rural,16,Primary education,Farming and Fishing
Yes,Urban,42,Secondary education,Other Income
No,Rural,31,Secondary education,Farming and Fishing
No,Rural,24,Secondary education,Farming and Fishing
Yes,Rural,33,Primary education,Dont Know/Refuse to answer
No,Rural,16,Secondary education,Informally employed
No,Rural,56,Primary education,Farming and Fishing
No,Rural,35,Primary education,Farming and Fishing
No,Rural,20,Primary education,Informally employed
No,Rural,22,Secondary education,Self employed
No,Rural,49,No formal education,Informally employed
No,Rural,35,Primary education,Farming and Fishing
No,Rural,30,Primary education,Informally employed
No,Rural,31,Primary education,Farming and Fishing
No,Rural,21,Primary education,Informally employed
No,Urban,61,Vocational/Specialised training,Informally employed
No,Rural,55,No formal education,Farming and Fishing
No,Rural,26,Primary education,Other Income
No,Rural,48,No formal education,Farming and Fishing
No,Rural,41,Primary education,Farming and Fishing
No,Rural,37,Primary education,Farming and Fishing
Yes,Rural,33,Tertiary education,Formally employed Government
No,Rural,16,Primary education,Farming and Fishing
Yes,Urban,44,Tertiary education,Formally employed Government
No,Rural,56,Primary education,Farming and Fishing
Yes,Rural,30,Primary education,Farming and Fishing
No,Rural,41,Primary education,Informally employed
No,Rural,80,No formal education,Informally employed
Yes,Rural,27,Primary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Rural,39,Secondary education,Farming and Fishing
No,Rural,45,Primary education,Informally employed
No,Rural,49,Primary education,Farming and Fishing
Yes,Rural,38,Secondary education,Formally employed Government
No,Rural,16,Secondary education,Farming and Fishing
No,Rural,27,Primary education,Informally employed
No,Rural,22,Primary education,Informally employed
No,Rural,33,Primary education,Farming and Fishing
No,Rural,56,No formal education,Farming and Fishing
No,Rural,17,Primary education,Informally employed
No,Rural,60,Secondary education,Formally employed Government
No,Rural,28,Primary education,Farming and Fishing
No,Rural,59,No formal education,Other Income
No,Rural,49,Secondary education,Farming and Fishing
No,Rural,34,Primary education,Farming and Fishing
No,Rural,35,Primary education,Farming and Fishing
No,Rural,33,Primary education,Informally employed
No,Rural,18,Secondary education,Other Income
Yes,Urban,65,Tertiary education,Formally employed Government
No,Rural,24,Primary education,Informally employed
Yes,Urban,35,Secondary education,Formally employed Government
Yes,Urban,31,Secondary education,Dont Know/Refuse to answer
No,Rural,33,Primary education,Self employed
Yes,Rural,43,Primary education,Farming and Fishing
No,Urban,65,No formal education,Farming and Fishing
No,Rural,63,Primary education,Farming and Fishing
No,Rural,62,Primary education,Dont Know/Refuse to answer
No,Rural,36,Primary education,Informally employed
Yes,Urban,27,Primary education,Other Income
No,Rural,35,Primary education,Farming and Fishing
No,Rural,41,Secondary education,Informally employed
No,Rural,17,Primary education,Farming and Fishing
No,Rural,49,Primary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Rural,21,Primary education,Informally employed
No,Rural,60,No formal education,Informally employed
Yes,Urban,35,Tertiary education,Other Income
No,Rural,58,Primary education,Farming and Fishing
No,Rural,60,No formal education,Farming and Fishing
No,Rural,27,Primary education,Farming and Fishing
No,Rural,42,Primary education,Farming and Fishing
No,Rural,28,Secondary education,Farming and Fishing
No,Rural,37,Primary education,Farming and Fishing
Yes,Rural,46,Primary education,Farming and Fishing
No,Rural,18,Primary education,Informally employed
No,Rural,19,Secondary education,Farming and Fishing
No,Rural,25,No formal education,Farming and Fishing
No,Rural,53,No formal education,Informally employed
No,Rural,32,No formal education,Farming and Fishing
Yes,Rural,45,Secondary education,Other Income
No,Rural,48,Secondary education,Farming and Fishing
No,Rural,50,Primary education,Farming and Fishing
No,Rural,48,Secondary education,Farming and Fishing
No,Urban,23,Primary education,Informally employed
No,Rural,67,Primary education,Farming and Fishing
No,Rural,42,Primary education,Informally employed
Yes,Rural,63,No formal education,Self employed
No,Rural,36,No formal education,Farming and Fishing
No,Rural,80,Primary education,Farming and Fishing
No,Rural,32,Primary education,Farming and Fishing
No,Rural,33,No formal education,Farming and Fishing
No,Rural,73,No formal education,Farming and Fishing
Yes,Rural,22,Primary education,Self employed
No,Rural,79,No formal education,Farming and Fishing
No,Rural,24,Primary education,Farming and Fishing
No,Rural,37,No formal education,Informally employed
No,Urban,56,Primary education,Self employed
No,Urban,32,Primary education,Informally employed
No,Urban,17,Secondary education,Remittance Dependent
No,Rural,43,No formal education,Farming and Fishing
No,Rural,35,Primary education,Farming and Fishing
No,Rural,42,Primary education,Informally employed
No,Rural,44,Primary education,Informally employed
No,Rural,50,No formal education,Informally employed
No,Rural,50,Secondary education,Farming and Fishing
No,Rural,76,No formal education,Farming and Fishing
No,Urban,24,Secondary education,Farming and Fishing
No,Rural,19,Primary education,Informally employed
No,Rural,31,Primary education,Farming and Fishing
No,Urban,21,Secondary education,Other Income
No,Rural,59,Primary education,Farming and Fishing
No,Rural,30,Primary education,Self employed
No,Rural,52,No formal education,Farming and Fishing
No,Rural,57,No formal education,Farming and Fishing
No,Urban,51,No formal education,Informally employed
No,Rural,16,Primary education,Self employed
Yes,Urban,25,Primary education,Remittance Dependent
No,Rural,30,No formal education,Informally employed
No,Urban,50,No formal education,Other Income
No,Rural,37,No formal education,Remittance Dependent
No,Rural,23,Primary education,Farming and Fishing
No,Rural,63,Primary education,Dont Know/Refuse to answer
No,Rural,19,Primary education,Farming and Fishing
No,Rural,30,Primary education,Self employed
No,Rural,31,Primary education,Other Income
No,Rural,35,Primary education,Informally employed
No,Rural,42,Primary education,Self employed
No,Urban,45,Secondary education,Remittance Dependent
No,Rural,27,Primary education,Informally employed
No,Rural,58,No formal education,Farming and Fishing
Yes,Rural,30,Secondary education,Farming and Fishing
No,Rural,16,Primary education,Farming and Fishing
No,Rural,25,Secondary education,Farming and Fishing
No,Rural,19,Secondary education,Informally employed
No,Rural,34,Primary education,Informally employed
No,Rural,40,No formal education,Informally employed
No,Rural,29,Primary education,Informally employed
No,Rural,66,No formal education,Farming and Fishing
Yes,Urban,19,Secondary education,Remittance Dependent
Yes,Urban,25,Secondary education,Self employed
No,Rural,21,Primary education,Farming and Fishing
Yes,Urban,43,Secondary education,Formally employed Government
No,Rural,38,Primary education,Farming and Fishing
No,Rural,27,Primary education,Farming and Fishing
Yes,Rural,42,No formal education,Self employed
No,Rural,34,Primary education,Farming and Fishing
No,Rural,33,No formal education,Farming and Fishing
No,Rural,34,No formal education,Informally employed
No,Rural,16,Secondary education,Farming and Fishing
No,Rural,76,No formal education,Farming and Fishing
No,Urban,37,No formal education,Farming and Fishing
No,Rural,25,Primary education,Farming and Fishing
No,Rural,88,No formal education,Remittance Dependent
Yes,Rural,50,Primary education,Farming and Fishing
No,Rural,35,Primary education,Informally employed
No,Rural,34,No formal education,Farming and Fishing
No,Rural,29,Secondary education,Farming and Fishing
No,Rural,59,No formal education,Farming and Fishing
No,Urban,29,Primary education,Remittance Dependent
No,Rural,21,Secondary education,Informally employed
No,Rural,48,No formal education,Farming and Fishing
No,Rural,40,Primary education,Farming and Fishing
No,Rural,19,Primary education,Farming and Fishing
No,Rural,37,Primary education,Farming and Fishing
No,Rural,53,No formal education,Self employed
No,Rural,43,Primary education,Farming and Fishing
No,Rural,31,Primary education,Informally employed
Yes,Rural,22,Primary education,Self employed
No,Rural,37,No formal education,Informally employed
Yes,Rural,23,Primary education,Self employed
No,Rural,20,Primary education,Informally employed
No,Rural,62,Primary education,Other Income
No,Rural,45,Primary education,Informally employed
No,Rural,17,Secondary education,Farming and Fishing
No,Rural,35,Secondary education,Farming and Fishing
No,Rural,25,Secondary education,Self employed
No,Rural,26,Secondary education,Farming and Fishing
No,Rural,34,Primary education,Informally employed
No,Rural,41,Secondary education,Informally employed
Yes,Urban,34,Tertiary education,Formally employed Government
Yes,Urban,50,Primary education,Self employed
Yes,Urban,32,Tertiary education,Self employed
No,Rural,55,No formal education,Other Income
No,Rural,30,Primary education,Farming and Fishing
No,Rural,53,No formal education,Remittance Dependent
No,Rural,33,Primary education,Farming and Fishing
No,Rural,83,Primary education,Remittance Dependent
No,Rural,50,No formal education,Farming and Fishing
Yes,Rural,43,Secondary education,Informally employed
No,Rural,42,Primary education,Farming and Fishing
No,Rural,28,No formal education,Informally employed
No,Rural,49,Primary education,Farming and Fishing
No,Urban,16,Secondary education,Other Income
No,Rural,35,Primary education,Informally employed
No,Urban,32,Primary education,Informally employed
No,Rural,34,No formal education,Farming and Fishing
No,Rural,21,Primary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Rural,56,Primary education,Farming and Fishing
No,Urban,35,Primary education,Formally employed Private
No,Rural,72,No formal education,Remittance Dependent
No,Rural,24,Secondary education,Self employed
No,Rural,34,Primary education,Informally employed
No,Rural,41,No formal education,Self employed
No,Rural,27,Primary education,Farming and Fishing
No,Rural,56,No formal education,Farming and Fishing
No,Rural,42,Primary education,Informally employed
No,Rural,32,Primary education,Farming and Fishing
No,Rural,27,Primary education,Informally employed
No,Rural,24,Primary education,Farming and Fishing
No,Rural,33,No formal education,Farming and Fishing
No,Rural,45,No formal education,Farming and Fishing
No,Urban,30,Secondary education,Other Income
No,Rural,33,No formal education,Informally employed
No,Rural,27,Primary education,Farming and Fishing
No,Rural,24,Primary education,Farming and Fishing
No,Rural,21,Secondary education,Farming and Fishing
Yes,Urban,25,No formal education,Self employed
No,Rural,55,Primary education,Informally employed
Yes,Rural,40,Primary education,Self employed
No,Rural,47,Primary education,Farming and Fishing
No,Rural,16,Primary education,Dont Know/Refuse to answer
No,Rural,37,Primary education,Farming and Fishing
No,Rural,75,No formal education,Farming and Fishing
Yes,Rural,22,Secondary education,Other Income
No,Rural,56,No formal education,Formally employed Private
No,Rural,17,Primary education,Farming and Fishing
No,Rural,37,No formal education,Informally employed
No,Rural,78,No formal education,Farming and Fishing
No,Rural,16,Primary education,Farming and Fishing
No,Rural,47,Primary education,Informally employed
No,Urban,25,Primary education,Informally employed
No,Rural,23,Primary education,Farming and Fishing
No,Rural,38,Tertiary education,Formally employed Private
No,Rural,17,Primary education,Self employed
No,Rural,75,Primary education,Farming and Fishing
No,Rural,24,Primary education,Farming and Fishing
No,Rural,44,Primary education,Farming and Fishing
No,Rural,49,Primary education,Farming and Fishing
No,Rural,67,No formal education,Informally employed
No,Rural,52,Primary education,Farming and Fishing
No,Rural,16,Primary education,Farming and Fishing
No,Rural,20,Secondary education,Informally employed
No,Rural,67,Primary education,Farming and Fishing
No,Rural,34,Primary education,Informally employed
Yes,Rural,24,Primary education,Farming and Fishing
No,Urban,41,Secondary education,Other Income
Yes,Urban,30,Secondary education,Informally employed
No,Rural,34,Primary education,Informally employed
Yes,Rural,38,Primary education,Farming and Fishing
No,Rural,72,No formal education,Farming and Fishing
No,Rural,74,Primary education,Informally employed
Yes,Rural,33,Secondary education,Formally employed Government
No,Rural,24,Primary education,Informally employed
Yes,Rural,33,Primary education,Informally employed
No,Rural,21,Primary education,Informally employed
No,Rural,47,Primary education,Farming and Fishing
No,Rural,70,No formal education,Farming and Fishing
No,Rural,21,No formal education,Farming and Fishing
No,Rural,44,No formal education,Farming and Fishing
No,Rural,85,No formal education,Remittance Dependent
No,Rural,23,Secondary education,Informally employed
No,Rural,57,No formal education,Farming and Fishing
No,Rural,34,Primary education,Farming and Fishing
No,Rural,50,Primary education,Informally employed
No,Rural,59,Secondary education,Remittance Dependent
No,Urban,30,Primary education,Informally employed
No,Rural,55,Primary education,Farming and Fishing
No,Rural,35,Primary education,Informally employed
No,Rural,40,Primary education,Farming and Fishing
Yes,Urban,47,Secondary education,Remittance Dependent
No,Rural,33,No formal education,Informally employed
No,Rural,53,Primary education,Farming and Fishing
No,Rural,76,No formal education,Remittance Dependent
No,Rural,30,Primary education,Farming and Fishing
No,Rural,34,No formal education,Farming and Fishing
No,Rural,37,Primary education,Informally employed
No,Urban,25,Primary education,Informally employed
No,Rural,23,Primary education,Informally employed
No,Rural,39,Secondary education,Informally employed
No,Rural,20,Secondary education,Remittance Dependent
No,Rural,37,Primary education,Informally employed
No,Rural,24,Primary education,Informally employed
No,Rural,20,Secondary education,Other Income
No,Urban,43,Primary education,Farming and Fishing
No,Urban,42,Secondary education,Remittance Dependent
No,Rural,34,Primary education,Farming and Fishing
No,Rural,51,No formal education,Farming and Fishing
Yes,Urban,45,Secondary education,Remittance Dependent
No,Rural,39,No formal education,Informally employed
No,Rural,63,Primary education,Informally employed
No,Rural,72,Primary education,Farming and Fishing
No,Urban,53,No formal education,Farming and Fishing
No,Rural,33,No formal education,Informally employed
Yes,Rural,54,Primary education,Informally employed
No,Rural,21,Primary education,Informally employed
No,Rural,34,Primary education,Informally employed
No,Rural,32,No formal education,Farming and Fishing
No,Rural,35,Primary education,Informally employed
No,Rural,37,Primary education,Informally employed
No,Rural,34,Primary education,Informally employed
No,Rural,38,Primary education,Farming and Fishing
No,Rural,19,Primary education,Informally employed
No,Rural,24,Primary education,Informally employed
No,Rural,55,No formal education,Informally employed
No,Rural,51,Primary education,Informally employed
No,Rural,21,Primary education,Other Income
No,Rural,32,Primary education,Informally employed
No,Rural,16,Secondary education,Remittance Dependent
No,Rural,34,Primary education,Farming and Fishing
No,Rural,29,Primary education,Informally employed
No,Rural,36,Primary education,Informally employed
No,Urban,19,Secondary education,Informally employed
No,Rural,60,Primary education,Farming and Fishing
No,Rural,26,No formal education,Informally employed
Yes,Rural,35,Secondary education,Self employed
No,Rural,16,Secondary education,Self employed
No,Rural,25,Primary education,Informally employed
No,Rural,23,Secondary education,Remittance Dependent
No,Rural,40,Primary education,Informally employed
No,Rural,61,Primary education,Farming and Fishing
No,Rural,16,Primary education,Informally employed
No,Rural,58,No formal education,Informally employed
No,Rural,76,No formal education,Remittance Dependent
No,Rural,42,Primary education,Other Income
Yes,Rural,41,Primary education,Government Dependent
Yes,Urban,32,Secondary education,Self employed
No,Urban,34,Primary education,Informally employed
No,Urban,26,Primary education,Informally employed
No,Rural,65,No formal education,Farming and Fishing
No,Rural,19,Primary education,Farming and Fishing
Yes,Urban,42,Secondary education,Remittance Dependent
No,Rural,25,Primary education,Informally employed
No,Rural,45,Primary education,Farming and Fishing
No,Rural,34,Primary education,Farming and Fishing
No,Rural,41,Primary education,Farming and Fishing
No,Urban,20,Primary education,Informally employed
No,Rural,64,No formal education,Self employed
No,Urban,62,Primary education,Self employed
No,Rural,31,Primary education,Farming and Fishing
No,Rural,80,No formal education,Remittance Dependent
No,Rural,18,Secondary education,Informally employed
No,Rural,29,Primary education,Farming and Fishing
No,Rural,73,No formal education,Farming and Fishing
No,Rural,52,No formal education,Informally employed
No,Urban,30,Primary education,Informally employed
No,Urban,36,Primary education,Informally employed
No,Rural,30,Primary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Rural,16,Secondary education,Farming and Fishing
No,Rural,63,Primary education,Farming and Fishing
No,Rural,35,Primary education,Informally employed
No,Rural,16,No formal education,Informally employed
No,Urban,34,Primary education,Informally employed
No,Rural,45,No formal education,Informally employed
No,Rural,29,Primary education,Remittance Dependent
No,Rural,35,Primary education,Informally employed
No,Rural,72,Primary education,Farming and Fishing
No,Rural,69,No formal education,Farming and Fishing
No,Rural,44,Secondary education,Farming and Fishing
No,Rural,49,No formal education,Informally employed
No,Rural,30,No formal education,Informally employed
No,Rural,30,Primary education,Informally employed
No,Rural,79,No formal education,Other Income
No,Rural,55,No formal education,Farming and Fishing
No,Rural,42,Primary education,Informally employed
No,Rural,45,Secondary education,Farming and Fishing
No,Rural,21,Secondary education,Self employed
No,Rural,63,No formal education,Dont Know/Refuse to answer
No,Rural,18,Secondary education,Self employed
No,Rural,50,No formal education,Farming and Fishing
Yes,Urban,41,Secondary education,Self employed
Yes,Urban,31,Secondary education,Remittance Dependent
No,Rural,48,Other/Dont know/RTA,Informally employed
No,Rural,59,No formal education,Farming and Fishing
No,Rural,39,No formal education,Informally employed
